"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"04/02/2026","Sell to Open","NFLX 04/24/2026 107.00 C","CALL NETFLIX INC $107 EXP 04/24/26","5","$1.21","$3.33","$601.67"
"04/02/2026","Buy to Open","NFLX 05/15/2026 107.00 C","CALL NETFLIX INC $107 EXP 05/15/26","5","$2.02","$3.31","-$1013.31"
"03/30/2026","Credit Interest","","SCHWAB1 INT 02/26-03/29","","","","$0.17"
"03/27/2026","Sell to Close","SPX 04/17/2026 6950.00 C","CALL S & P ...500 INDEX $6950 EXP 04/17/26","1","$2.70","$1.29","$268.71"
"03/27/2026","Buy to Close","SPX 04/17/2026 6900.00 C","CALL S & P ...500 INDEX $6900 EXP 04/17/26","1","$4.70","$1.29","-$471.29"
"03/27/2026","Buy to Open","SPX 04/17/2026 6750.00 C","CALL S & P ...500 INDEX $6750 EXP 04/17/26","1","$23.25","$1.29","-$2326.29"
"03/27/2026","Sell to Open","SPX 04/17/2026 6700.00 C","CALL S & P ...500 INDEX $6700 EXP 04/17/26","1","$35.30","$1.29","$3528.71"
"03/25/2026","Buy to Open","NDX 05/15/2026 25900.00 C","CALL NASDAQ ...100 INDEX $25900 EXP 05/15/26","1","$165.05","$0.66","-$16505.66"
"03/25/2026","Sell to Open","NDX 05/15/2026 25800.00 C","CALL NASDAQ ...100 INDEX $25800 EXP 05/15/26","1","$190.65","$0.66","$19064.34"
"03/25/2026","Sell to Open","NDX 05/15/2026 22700.00 P","PUT NASDAQ ...100 INDEX $22700 EXP 05/15/26","1","$419.98","$0.66","$41997.34"
"03/25/2026","Buy to Open","NDX 05/15/2026 22600.00 P","PUT NASDAQ ...100 INDEX $22600 EXP 05/15/26","1","$402.13","$0.66","-$40213.66"
"03/24/2026","Buy to Open","RUT 05/15/2026 2305.00 P","PUT RUSSELL 2000 INDEX $2305 EXP 05/15/26","1","$46.66","$0.81","-$4666.81"
"03/24/2026","Buy to Open","RUT 05/15/2026 2725.00 C","CALL RUSSELL 2000 INDEX $2725 EXP 05/15/26","1","$26.66","$0.81","-$2666.81"
"03/24/2026","Sell to Open","RUT 05/15/2026 2330.00 P","PUT RUSSELL 2000 INDEX $2330 EXP 05/15/26","1","$51.88","$0.81","$5187.19"
"03/24/2026","Sell to Open","RUT 05/15/2026 2700.00 C","CALL RUSSELL 2000 INDEX $2700 EXP 05/15/26","1","$32.98","$0.81","$3297.19"
"03/23/2026","Buy to Open","SPX 05/15/2026 6250.00 P","PUT S & P ...500 INDEX $6250 EXP 05/15/26","1","$90.99","$1.29","-$9100.29"
"03/23/2026","Buy to Open","SPX 05/15/2026 7000.00 C","CALL S & P ...500 INDEX $7000 EXP 05/15/26","1","$43.35","$1.29","-$4336.29"
"03/23/2026","Sell to Open","SPX 05/15/2026 6300.00 P","PUT S & P ...500 INDEX $6300 EXP 05/15/26","1","$99.93","$1.29","$9991.71"
"03/23/2026","Sell to Open","SPX 05/15/2026 6950.00 C","CALL S & P ...500 INDEX $6950 EXP 05/15/26","1","$58.16","$1.29","$5814.71"
"03/23/2026","Sell to Close","VRT 04/02/2026 295.00 C","CALL VERTIV HLDGS CO $295 EXP 04/02/26","3","$2.42","$2.00","$724.00"
"03/23/2026 as of 03/20/2026","Expired","VRT 03/20/2026 295.00 C","CALL VERTIV HLDGS CO $295 EXP 03/20/26","3","","",""
"03/18/2026","Buy to Open","SPX 04/17/2026 6245.00 P","PUT S & P ...500 INDEX $6245 EXP 04/17/26","1","$42.01","$1.29","-$4202.29"
"03/18/2026","Sell to Open","SPX 04/17/2026 6295.00 P","PUT S & P ...500 INDEX $6295 EXP 04/17/26","1","$47.73","$1.29","$4771.71"
"03/18/2026","Buy to Open","SPX 04/17/2026 6950.00 C","CALL S & P ...500 INDEX $6950 EXP 04/17/26","1","$33.95","$1.29","-$3396.29"
"03/18/2026","Sell to Open","SPX 04/17/2026 6900.00 C","CALL S & P ...500 INDEX $6900 EXP 04/17/26","1","$51.33","$1.29","$5131.71"
